id,name,name_en,description,description_en,full_video_url,full_video_image_url,introduction,introduction_en,slug,slug_en,attribute_name,attribute_value
4,"Tractions pronation","Pull-Up","<p>Saisissez la barre en pronation et tirez votre corps vers le haut.</p>","<p>Grab the bar with an overhand grip and pull your body up.</p>",https://www.youtube.com/watch?v=GHF6X1nQ1OY,https://img.youtube.com/vi/GHF6X1nQ1OY/maxresdefault.jpg,"Un exercice complet pour le dos.","A complete back exercise.","tractions-pronation","pull-up",EQUIPMENT,BODYWEIGHT
4,"Tractions pronation","Pull-Up","<p>Saisissez la barre en pronation et tirez votre corps vers le haut.</p>","<p>Grab the bar with an overhand grip and pull your body up.</p>",https://www.youtube.com/watch?v=GHF6X1nQ1OY,https://img.youtube.com/vi/GHF6X1nQ1OY/maxresdefault.jpg,"Un exercice complet pour le dos.","A complete back exercise.","tractions-pronation","pull-up",MECHANICS_TYPE,COMPOUND
5,"Développé couché barre","Barbell Bench Press","<p>Allongez-vous sur un banc, saisissez la barre et poussez-la vers le haut.</p>","<p>Lie on a bench, grab the barbell and press it upward.</p>",https://www.youtube.com/watch?v=Dr8i6Sfi3XA,https://img.youtube.com/vi/Dr8i6Sfi3XA/maxresdefault.jpg,"Exercice majeur pour la poitrine.","Major chest exercise.","developpe-couche-barre","barbell-bench-press",TYPE,STRENGTH
5,"Développé couché barre","Barbell Bench Press","<p>Allongez-vous sur un banc, saisissez la barre et poussez-la vers le haut.</p>","<p>Lie on a bench, grab the barbell and press it upward.</p>",https://www.youtube.com/watch?v=Dr8i6Sfi3XA,https://img.youtube.com/vi/Dr8i6Sfi3XA/maxresdefault.jpg,"Exercice majeur pour la poitrine.","Major chest exercise.","developpe-couche-barre","barbell-bench-press",PRIMARY_MUSCLE,CHEST
5,"Développé couché barre","Barbell Bench Press","<p>Allongez-vous sur un banc, saisissez la barre et poussez-la vers le haut.</p>","<p>Lie on a bench, grab the barbell and press it upward.</p>",https://www.youtube.com/watch?v=Dr8i6Sfi3XA,https://img.youtube.com/vi/Dr8i6Sfi3XA/maxresdefault.jpg,"Exercice majeur pour la poitrine.","Major chest exercise.","developpe-couche-barre","barbell-bench-press",SECONDARY_MUSCLE,TRICEPS
5,"Développé couché barre","Barbell Bench Press","<p>Allongez-vous sur un banc, saisissez la barre et poussez-la vers le haut.</p>","<p>Lie on a bench, grab the barbell and press it upward.</p>",https://www.youtube.com/watch?v=Dr8i6Sfi3XA,https://img.youtube.com/vi/Dr8i6Sfi3XA/maxresdefault.jpg,"Exercice majeur pour la poitrine.","Major chest exercise.","developpe-couche-barre","barbell-bench-press",EQUIPMENT,BARBELL
5,"Développé couché barre","Barbell Bench Press","<p>Allongez-vous sur un banc, saisissez la barre et poussez-la vers le haut.</p>","<p>Lie on a bench, grab the barbell and press it upward.</p>",https://www.youtube.com/watch?v=Dr8i6Sfi3XA,https://img.youtube.com/vi/Dr8i6Sfi3XA/maxresdefault.jpg,"Exercice majeur pour la poitrine.","Major chest exercise.","developpe-couche-barre","barbell-bench-press",MECHANICS_TYPE,COMPOUND
6,"Soulevé de terre","Deadlift","<p><strong>Saisissez la barre</strong> au sol et redressez-vous en gardant le dos droit.</p>","<p><strong>Grab the barbell</strong> from the floor and stand up while keeping your back straight.</p>",https://www.youtube.com/watch?v=F8e7XK4iw1M,https://img.youtube.com/vi/F8e7XK4iw1M/maxresdefault.jpg,"Un exercice pour tout le corps.","A full-body exercise.","souleve-de-terre","deadlift",TYPE,POWERLIFTING
6,"Soulevé de terre","Deadlift","<p><strong>Saisissez la barre</strong> au sol et redressez-vous en gardant le dos droit.</p>","<p><strong>Grab the barbell</strong> from the floor and stand up while keeping your back straight.</p>",https://www.youtube.com/watch?v=F8e7XK4iw1M,https://img.youtube.com/vi/F8e7XK4iw1M/maxresdefault.jpg,"Un exercice pour tout le corps.","A full-body exercise.","souleve-de-terre","deadlift",PRIMARY_MUSCLE,BACK
6,"Soulevé de terre","Deadlift","<p><strong>Saisissez la barre</strong> au sol et redressez-vous en gardant le dos droit.</p>","<p><strong>Grab the barbell</strong> from the floor and stand up while keeping your back straight.</p>",https://www.youtube.com/watch?v=F8e7XK4iw1M,https://img.youtube.com/vi/F8e7XK4iw1M/maxresdefault.jpg,"Un exercice pour tout le corps.","A full-body exercise.","souleve-de-terre","deadlift",SECONDARY_MUSCLE,GLUTES
6,"Soulevé de terre","Deadlift","<p><strong>Saisissez la barre</strong> au sol et redressez-vous en gardant le dos droit.</p>","<p><strong>Grab the barbell</strong> from the floor and stand up while keeping your back straight.</p>",https://www.youtube.com/watch?v=F8e7XK4iw1M,https://img.youtube.com/vi/F8e7XK4iw1M/maxresdefault.jpg,"Un exercice pour tout le corps.","A full-body exercise.","souleve-de-terre","deadlift",EQUIPMENT,BARBELL
6,"Soulevé de terre","Deadlift","<p><strong>Saisissez la barre</strong> au sol et redressez-vous en gardant le dos droit.</p>","<p><strong>Grab the barbell</strong> from the floor and stand up while keeping your back straight.</p>",https://www.youtube.com/watch?v=F8e7XK4iw1M,https://img.youtube.com/vi/F8e7XK4iw1M/maxresdefault.jpg,"Un exercice pour tout le corps.","A full-body exercise.","souleve-de-terre","deadlift",MECHANICS_TYPE,COMPOUND
7,"Crunchs abdominaux","Abdominal Crunch","<p>Allongez-vous sur le dos et soulevez le haut du corps en contractant les abdos.</p>","<p>Lie on your back and lift your upper body by contracting your abs.</p>",https://www.youtube.com/watch?v=7JdDsVZznxA,https://img.youtube.com/vi/7JdDsVZznxA/maxresdefault.jpg,"Un mouvement ciblé pour les abdominaux.","A targeted move for abs.","crunchs-abdominaux","abdominal-crunch",TYPE,STRENGTH
7,"Crunchs abdominaux","Abdominal Crunch","<p>Allongez-vous sur le dos et soulevez le haut du corps en contractant les abdos.</p>","<p>Lie on your back and lift your upper body by contracting your abs.</p>",https://www.youtube.com/watch?v=7JdDsVZznxA,https://img.youtube.com/vi/7JdDsVZznxA/maxresdefault.jpg,"Un mouvement ciblé pour les abdominaux.","A targeted move for abs.","crunchs-abdominaux","abdominal-crunch",PRIMARY_MUSCLE,CORE
7,"Crunchs abdominaux","Abdominal Crunch","<p>Allongez-vous sur le dos et soulevez le haut du corps en contractant les abdos.</p>","<p>Lie on your back and lift your upper body by contracting your abs.</p>",https://www.youtube.com/watch?v=7JdDsVZznxA,https://img.youtube.com/vi/7JdDsVZznxA/maxresdefault.jpg,"Un mouvement ciblé pour les abdominaux.","A targeted move for abs.","crunchs-abdominaux","abdominal-crunch",SECONDARY_MUSCLE,FOREARMS
7,"Crunchs abdominaux","Abdominal Crunch","<p>Allongez-vous sur le dos et soulevez le haut du corps en contractant les abdos.</p>","<p>Lie on your back and lift your upper body by contracting your abs.</p>",https://www.youtube.com/watch?v=7JdDsVZznxA,https://img.youtube.com/vi/7JdDsVZznxA/maxresdefault.jpg,"Un mouvement ciblé pour les abdominaux.","A targeted move for abs.","crunchs-abdominaux","abdominal-crunch",EQUIPMENT,BODYWEIGHT
7,"Crunchs abdominaux","Abdominal Crunch","<p>Allongez-vous sur le dos et soulevez le haut du corps en contractant les abdos.</p>","<p>Lie on your back and lift your upper body by contracting your abs.</p>",https://www.youtube.com/watch?v=7JdDsVZznxA,https://img.youtube.com/vi/7JdDsVZznxA/maxresdefault.jpg,"Un mouvement ciblé pour les abdominaux.","A targeted move for abs.","crunchs-abdominaux","abdominal-crunch",MECHANICS_TYPE,ISOLATION
8,"Burpees","Burpees","<p>Partant debout, descendez en squat, sautez en planche, puis revenez debout.</p>","<p>Starting standing, drop to squat, jump to plank, then stand up again.</p>",https://www.youtube.com/watch?v=U7nXyQp0ZQA,https://img.youtube.com/vi/U7nXyQp0ZQA/maxresdefault.jpg,"Un exercice cardio complet.","A full cardio exercise.","burpees","burpees",TYPE,CARDIO
8,"Burpees","Burpees","<p>Partant debout, descendez en squat, sautez en planche, puis revenez debout.</p>","<p>Starting standing, drop to squat, jump to plank, then stand up again.</p>",https://www.youtube.com/watch?v=U7nXyQp0ZQA,https://img.youtube.com/vi/U7nXyQp0ZQA/maxresdefault.jpg,"Un exercice cardio complet.","A full cardio exercise.","burpees","burpees",PRIMARY_MUSCLE,CORE
8,"Burpees","Burpees","<p>Partant debout, descendez en squat, sautez en planche, puis revenez debout.</p>","<p>Starting standing, drop to squat, jump to plank, then stand up again.</p>",https://www.youtube.com/watch?v=U7nXyQp0ZQA,https://img.youtube.com/vi/U7nXyQp0ZQA/maxresdefault.jpg,"Un exercice cardio complet.","A full cardio exercise.","burpees","burpees",SECONDARY_MUSCLE,QUADRICEPS
8,"Burpees","Burpees","<p>Partant debout, descendez en squat, sautez en planche, puis revenez debout.</p>","<p>Starting standing, drop to squat, jump to plank, then stand up again.</p>",https://www.youtube.com/watch?v=U7nXyQp0ZQA,maxresdefault.jpg,"Un exercice cardio complet.","A full cardio exercise.","burpees","burpees",EQUIPMENT,BODYWEIGHT
8,"Burpees","Burpees","<p>Partant debout, descendez en squat, sautez en planche, puis revenez debout.</p>","<p>Starting standing, drop to squat, jump to plank, then stand up again.</p>",https://www.youtube.com/watch?v=U7nXyQp0ZQA,https://img.youtube.com/vi/U7nXyQp0ZQA/maxresdefault.jpg,"Un exercice cardio complet.","A full cardio exercise.","burpees","burpees",MECHANICS_TYPE,COMPOUND
9,"Curl biceps haltère","Dumbbell Biceps Curl","<p>Pliez le coude pour lever l'haltère vers l'épaule.</p>","<p>Bend your elbow to raise the dumbbell to your shoulder.</p>",https://www.youtube.com/watch?v=5X2iGk6QyE8,https://img.youtube.com/vi/5X2iGk6QyE8/maxresdefault.jpg,"Pour renforcer les biceps.","For biceps strength.","curl-biceps-halteres","dumbbell-biceps-curl",TYPE,STRENGTH
9,"Curl biceps haltère","Dumbbell Biceps Curl","<p>Pliez le coude pour lever l'haltère vers l'épaule.</p>","<p>Bend your elbow to raise the dumbbell to your shoulder.</p>",https://www.youtube.com/watch?v=5X2iGk6QyE8,https://img.youtube.com/vi/5X2iGk6QyE8/maxresdefault.jpg,"Pour renforcer les biceps.","For biceps strength.","curl-biceps-halteres","dumbbell-biceps-curl",PRIMARY_MUSCLE,BICEPS
9,"Curl biceps haltère","Dumbbell Biceps Curl","<p>Pliez le coude pour lever l'haltère vers l'épaule.</p>","<p>Bend your elbow to raise the dumbbell to your shoulder.</p>",https://www.youtube.com/watch?v=5X2iGk6QyE8,https://img.youtube.com/vi/5X2iGk6QyE8/maxresdefault.jpg,"Pour renforcer les biceps.","For biceps strength.","curl-biceps-halteres","dumbbell-biceps-curl",SECONDARY_MUSCLE,FOREARMS
9,"Curl biceps haltère","Dumbbell Biceps Curl","<p>Pliez le coude pour lever l'haltère vers l'épaule.</p>","<p>Bend your elbow to raise the dumbbell to your shoulder.</p>",https://www.youtube.com/watch?v=5X2iGk6QyE8,https://img.youtube.com/vi/5X2iGk6QyE8/maxresdefault.jpg,"Pour renforcer les biceps.","For biceps strength.","curl-biceps-halteres","dumbbell-biceps-curl",EQUIPMENT,DUMBBELL
9,"Curl biceps haltère","Dumbbell Biceps Curl","<p>Pliez le coude pour lever l'haltère vers l'épaule.</p>","<p>Bend your elbow to raise the dumbbell to your shoulder.</p>",https://www.youtube.com/watch?v=5X2iGk6QyE8,https://img.youtube.com/vi/5X2iGk6QyE8/maxresdefault.jpg,"Pour renforcer les biceps.","For biceps strength.","curl-biceps-halteres","dumbbell-biceps-curl",MECHANICS_TYPE,ISOLATION
10,"Rowing haltère","Dumbbell Row","<p>Penchez-vous, tirez l'haltère vers votre hanche en gardant le dos droit.</p>","<p>Bend over, pull the dumbbell toward your hip with a straight back.</p>",https://www.youtube.com/watch?v=pvJg2ODYk2Q,https://img.youtube.com/vi/pvJg2ODYk2Q/maxresdefault.jpg,"Idéal pour le dos et les bras.","Great for back and arms.","rowing-haltere","dumbbell-row",TYPE,STRENGTH
10,"Rowing haltère","Dumbbell Row","<p>Penchez-vous, tirez l'haltère vers votre hanche en gardant le dos droit.</p>","<p>Bend over, pull the dumbbell toward your hip with a straight back.</p>",https://www.youtube.com/watch?v=pvJg2ODYk2Q,https://img.youtube.com/vi/pvJg2ODYk2Q/maxresdefault.jpg,"Idéal pour le dos et les bras.","Great for back and arms.","rowing-haltere","dumbbell-row",PRIMARY_MUSCLE,BACK
10,"Rowing haltère","Dumbbell Row","<p>Penchez-vous, tirez l'haltère vers votre hanche en gardant le dos droit.</p>","<p>Bend over, pull the dumbbell toward your hip with a straight back.</p>",https://www.youtube.com/watch?v=pvJg2ODYk2Q,https://img.youtube.com/vi/pvJg2ODYk2Q/maxresdefault.jpg,"Idéal pour le dos et les bras.","Great for back and arms.","rowing-haltere","dumbbell-row",SECONDARY_MUSCLE,BICEPS
10,"Rowing haltère","Dumbbell Row","<p>Penchez-vous, tirez l'haltère vers votre hanche en gardant le dos droit.</p>","<p>Bend over, pull the dumbbell toward your hip with a straight back.</p>",https://www.youtube.com/watch?v=pvJg2ODYk2Q,https://img.youtube.com/vi/pvJg2ODYk2Q/maxresdefault.jpg,"Idéal pour le dos et les bras.","Great for back and arms.","rowing-haltere","dumbbell-row",EQUIPMENT,DUMBBELL
10,"Rowing haltère","Dumbbell Row","<p>Penchez-vous, tirez l'haltère vers votre hanche en gardant le dos droit.</p>","<p>Bend over, pull the dumbbell toward your hip with a straight back.</p>",https://www.youtube.com/watch?v=pvJg2ODYk2Q,https://img.youtube.com/vi/pvJg2ODYk2Q/maxresdefault.jpg,"Idéal pour le dos et les bras.","Great for back and arms.","rowing-haltere","dumbbell-row",MECHANICS_TYPE,COMPOUND
